# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from planck2015:
# Omega_m = 0.31, Omega_l = 0.69, Omega_b = 0.048,
# h = 0.68, sigma_8 = 0.82, n_s = 0.97
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
311 0.554140091  0.804597855  6.716575996  7.019640026  26.0668
312 0.555732489  0.799426913  6.742651372  6.993564651  26.0754
313 0.557324827  0.794285774  6.768732150  6.967483872  26.0808
314 0.558917224  0.789173722  6.794820075  6.941395947  26.0879
315 0.560509622  0.784090638  6.820913962  6.915302060  26.0939
316 0.562101901  0.779036880  6.847011650  6.889204373  26.0977
317 0.563694298  0.774011254  6.873116840  6.863099183  26.1052
318 0.565286577  0.769014239  6.899225418  6.836990605  26.1086
319 0.566878974  0.764045000  6.925341089  6.810874933  26.1157
320 0.568471313  0.759103775  6.951460717  6.784755305  26.1196
321 0.570063710  0.754189849  6.977586054  6.758629968  26.1253
322 0.571656108  0.749303460  7.003715922  6.732500101  26.1299
323 0.573248386  0.744444489  7.029848161  6.706367861  26.1322
324 0.574840784  0.739612103  7.055986486  6.680229537  26.1383
325 0.576433122  0.734806657  7.082127761  6.654088261  26.1413
326 0.578025520  0.730027437  7.108273746  6.627942277  26.1460
327 0.579617798  0.725274801  7.134421306  6.601794716  26.1476
328 0.581210196  0.720547915  7.160574161  6.575641861  26.1529
329 0.582802474  0.715847254  7.186728199  6.549487823  26.1540
330 0.584394872  0.711171746  7.212887142  6.523328880  26.1589
331 0.585987329  0.706521511  7.239049817  6.497166205  26.1627
332 0.587579608  0.701897025  7.265212114  6.471003908  26.1623
333 0.589172006  0.697297215  7.291378737  6.444837285  26.1666
334 0.590764284  0.692722559  7.317545578  6.418670444  26.1668
335 0.592356682  0.688172102  7.343716365  6.392499657  26.1708
336 0.593949020  0.683646202  7.369887970  6.366328053  26.1716
337 0.595541418  0.679144382  7.396062163  6.340153859  26.1742
338 0.597133815  0.674666524  7.422237778  6.313978244  26.1756
339 0.598726094  0.670212865  7.448412669  6.287803353  26.1749
340 0.600318491  0.665782452  7.474590569  6.261625453  26.1779
341 0.601910830  0.661375642  7.500768355  6.235447667  26.1778
342 0.603503227  0.656991959  7.526947802  6.209268220  26.1794
343 0.605095506  0.652631640  7.553125789  6.183090234  26.1780
344 0.606687903  0.648293972  7.579306052  6.156909970  26.1803
345 0.608280301  0.643978953  7.605486452  6.130729571  26.1804
346 0.609872580  0.639686823  7.631664848  6.104551174  26.1784
347 0.611464977  0.635416627  7.657844982  6.078371041  26.1801
348 0.613057315  0.631168842  7.684023735  6.052192287  26.1788
349 0.614649713  0.626942873  7.710202891  6.026013132  26.1792
350 0.616241992  0.622739196  7.736379333  5.999836689  26.1764
351 0.617834389  0.618556738  7.762556806  5.973659216  26.1775
352 0.619426787  0.614395738  7.788733177  5.947482845  26.1764
353 0.621019125  0.610256314  7.814907291  5.921308731  26.1741
354 0.622611523  0.606137991  7.841080937  5.895135086  26.1736
355 0.624203801  0.602040887  7.867251003  5.868965019  26.1701
356 0.625796199  0.597964287  7.893421238  5.842794784  26.1702
357 0.627388477  0.593908787  7.919587554  5.816628468  26.1663
358 0.628980875  0.589873433  7.945753701  5.790462321  26.1661
359 0.630573213  0.585858703  7.971916573  5.764299449  26.1629
360 0.632165611  0.581863999  7.998077962  5.738138061  26.1614
361 0.633758008  0.577889323  8.024236722  5.711979301  26.1588
362 0.635350287  0.573934913  8.050390731  5.685825291  26.1540
363 0.636942685  0.569999933  8.076543741  5.659672281  26.1530
364 0.638535023  0.566084862  8.102692654  5.633523369  26.1489
365 0.640127420  0.562188983  8.128839263  5.607376759  26.1466
366 0.641719699  0.558312774  8.154980474  5.581235549  26.1412
367 0.643312097  0.554455400  8.181120039  5.555095983  26.1396
368 0.644904494  0.550617218  8.207255843  5.528960179  26.1358
369 0.646496773  0.546798110  8.233385772  5.502830251  26.1299
370 0.648089170  0.542997599  8.259513580  5.476702442  26.1278
371 0.649681509  0.539215684  8.285636178  5.450579844  26.1226
372 0.651273906  0.535452247  8.311755367  5.424460656  26.1192
373 0.652866185  0.531707406  8.337868058  5.398347964  26.1127
374 0.654458582  0.527980566  8.363978010  5.372238013  26.1100
375 0.656050980  0.524271846  8.390083113  5.346132909  26.1051
376 0.657643318  0.520581126  8.416182241  5.320033781  26.0991
377 0.659235716  0.516908050  8.442277197  5.293938825  26.0950
378 0.660827994  0.513253093  8.468364901  5.267851122  26.0877
379 0.662420392  0.509615421  8.494449110  5.241766912  26.0842
380 0.664012671  0.505995393  8.520525773  5.215690250  26.0767
381 0.665605128  0.502392292  8.546599622  5.189616401  26.0738
382 0.667197526  0.498806477  8.572666607  5.163549415  26.0670
383 0.668789804  0.495238066  8.598725610  5.137490412  26.0590
384 0.670382202  0.491686344  8.624780388  5.111435634  26.0548
385 0.671974480  0.488151789  8.650826898  5.085389125  26.0465
